test_id,price
0,15.890928
1,19.661541
2,33.63674
3,35.990063
4,13.507271
5,9.35509
6,6.814211
7,46.388016
8,26.033329
9,5.139961
10,45.657906
11,13.093203
12,44.761066
13,44.150684
14,26.658363
15,17.55449
16,18.339338
17,22.428423
18,49.512962
19,8.746239
20,11.265684
21,25.115067
22,13.722548
23,17.999107
24,22.606665
25,10.171574
26,18.27171
27,9.909163
28,62.997253
29,9.371076
30,11.28032
31,15.859892
32,26.906225
33,14.699483
34,26.566723
35,19.778337
36,17.743404
37,23.151379
38,17.741438
39,19.72388
40,42.307022
41,43.188255
42,42.51114
43,11.197799
44,20.121788
45,27.257904
46,4.393367
47,15.687561
48,21.782148
49,6.9311566
50,9.314864
51,30.684986
52,10.957413
53,27.883686
54,7.336976
55,12.046926
56,14.922365
57,7.87494
58,31.856514
59,8.4236
60,9.112364
61,14.930123
62,16.01822
63,30.227793
64,12.296128
65,18.19719
66,17.23056
67,8.005648
68,23.85094
69,20.8346
70,7.7240314
71,14.75052
72,90.90573
73,43.190838
74,29.220276
75,20.479076
76,10.1290655
77,7.700325
78,11.258571
79,21.17253
80,9.900046
81,24.048525
82,41.692623
83,11.389118
84,18.280966
85,63.54873
86,18.125866
87,10.59555
88,16.617079
89,24.707752
90,14.166648
91,14.471566
92,22.932827
93,41.043396
94,57.817337
95,20.569109
96,11.529799
97,12.188513
98,19.201548
99,32.207806
100,12.522911
101,18.278381
102,26.66362
103,31.84306
104,10.169883
105,5.8605847
106,11.619852
107,5.6768174
108,23.962437
109,36.24303
110,21.12737
111,22.092442
112,34.480984
113,8.782003
114,26.59246
115,13.305196
116,13.436308
117,16.094585
118,16.609444
119,47.059948
120,28.151014
121,14.143725
122,17.407793
123,12.683258
124,33.664036
125,20.303387
126,34.086643
127,58.653366
128,19.797012
129,42.316566
130,24.671993
131,16.865732
132,13.894249
133,11.739459
134,28.051907
135,19.877907
136,11.438824
137,23.048681
138,34.12143
139,14.891278
140,10.873211
141,27.508196
142,17.803167
143,24.305387
144,13.343145
145,17.00188
146,19.638388
147,44.420616
148,16.944592
149,19.802185
150,20.905514
151,9.461612
152,21.04029
153,189.94484
154,10.823594
155,72.895355
156,26.706247
157,22.027462
158,21.713396
159,30.805267
160,15.368092
161,36.242477
162,12.871145
163,51.234207
164,8.0070305
165,39.566586
166,33.949673
167,11.707301
168,17.435247
169,16.095356
170,68.66411
171,11.565067
172,7.1248875
173,6.704353
174,18.93391
175,22.717728
176,29.04913
177,13.793874
178,10.044186
179,26.934204
180,22.63502
181,8.947309
182,18.292498
183,48.824135
184,24.423851
185,12.233816
186,17.222548
187,9.797073
188,9.850969
189,16.628973
190,11.58752
191,21.322159
192,27.64342
193,10.106903
194,8.655752
195,27.960608
196,10.751338
197,10.704782
198,31.822208
199,12.587524
200,12.321183
201,31.507801
202,17.052696
203,7.703017
204,20.671879
205,37.093777
206,12.909332
207,10.465339
208,39.192265
209,13.709464
210,43.908527
211,8.970932
212,81.517204
213,8.048518
214,44.024998
215,4.382861
216,14.417242
217,37.37143
218,21.974007
219,26.333143
220,24.491623
221,24.389214
222,10.535341
223,8.999235
224,5.762748
225,15.291204
226,10.942053
227,29.017315
228,15.493052
229,14.606148
230,19.086618
